#AllowSameLineComments	docs/commands/_AllowSameLineComments.htm
#ClipboardTimeout	docs/commands/_ClipboardTimeout.htm
#CommentFlag	docs/commands/_CommentFlag.htm
#Delimiter	docs/commands/_EscapeChar.htm#Delimiter
#DerefChar	docs/commands/_EscapeChar.htm#DerefChar
IL_Add()	docs/commands/ListView.htm#IL_Add
IL_Create()	docs/commands/ListView.htm#IL_Create
IL_Destroy()	docs/commands/ListView.htm#IL_Destroy
Image Lists (GUI)	docs/commands/ListView.htm#IL
ImageSearch	docs/commands/ImageSearch.htm
Include	docs/commands/_Include.htm
infrared remote controls	docs/scripts/WinLIRC.htm
IniDelete	docs/commands/IniDelete.htm
IniRead	docs/commands/IniRead.htm
IniWrite	docs/commands/IniWrite.htm
Input	docs/commands/Input.htm
InputBox	docs/commands/InputBox.htm
Insert()	docs/objects/Object.htm#Insert
InsertInteger -&gt; NumPut()	docs/Functions.htm#NumPut
Install	docs/commands/FileInstall.htm
Installer Options	docs/Scripts.htm#install
InstallKeybdHook	docs/commands/_InstallKeybdHook.htm
InstallMouseHook	docs/commands/_InstallMouseHook.htm
InStr()	docs/Functions.htm#InStr
integer (check if it is one)	docs/commands/IfIs.htm
integer (SetFormat)	docs/commands/SetFormat.htm
Interrupt	docs/commands/Thread.htm
IsByRef()	docs/Functions.htm#IsByRef
IsFunc()	docs/Functions.htm#IsFunc
IsLabel()	docs/Functions.htm#IsLabel
IsObject()	docs/Objects.htm
Join (continuation sections)	docs/Scripts.htm#Join
Joystick	docs/KeyList.htm
JScript, embedded/inline	docs/commands/DllCall.htm#COM
key list (keyboard, mouse, joystick)	docs/KeyList.htm
key state	docs/commands/GetKeyState.htm
keyboard hook	docs/commands/_InstallKeybdHook.htm
KeyHistory	docs/commands/KeyHistory.htm
keystrokes, sending	docs/commands/Send.htm
KeyWait	docs/commands/KeyWait.htm
labels	docs/commands/Gosub.htm
last found window	docs/LastFoundWindow.htm
LeftClick	docs/commands/Click.htm
LeftClickDrag	docs/commands/MouseClickDrag.htm
length of a string	docs/commands/StringLen.htm
libraries of functions	docs/Functions.htm#lib
license	docs/license.htm
line continuation	docs/Scripts.htm#continuation
ListBox controls (GUI)	docs/commands/GuiControls.htm#ListBox
ListHotkeys	docs/commands/ListHotkeys.htm
ListLines	docs/commands/ListLines.htm
ListVars	docs/commands/ListVars.htm
ListView controls (GUI)	docs/commands/ListView.htm
ListView, getting text from	docs/commands/ControlGet.htm#List
Ln()	docs/Functions.htm#Ln
lnk (link/shortcut) file	docs/commands/FileCreateShortcut.htm
local variables	docs/Functions.htm#Locals
Locale	docs/commands/StringCaseSense.htm#Locale
Log()	docs/Functions.htm#Log
logarithm, log()	docs/Functions.htm#Log
logoff	docs/commands/Shutdown.htm
long file name (converting to)	docs/commands/LoopFile.htm#LoopFileLongPath
Loop	docs/commands/Loop.htm
Loop (registry)	docs/commands/LoopReg.htm
Loop (until)	http://www.autohotkey.net/~Lexikos/AutoHotkey_L/docs/commands/Until.htm
Loop (while)	docs/commands/While.htm
Loop, FilePattern	docs/commands/LoopFile.htm
Loop, Parse a string	docs/commands/LoopParse.htm
Loop, Read file contents	docs/commands/LoopReadFile.htm
lParam	docs/commands/PostMessage.htm
LTrim (continuation sections)	docs/Scripts.htm#LTrim
LTrim()	docs/commands/Trim.htm
LV_Add()	docs/commands/ListView.htm#LV_Add
LV_Delete()	docs/commands/ListView.htm#LV_Delete
LV_DeleteCol()	docs/commands/ListView.htm#LV_DeleteCol
LV_GetCount()	docs/commands/ListView.htm#LV_GetCount
LV_GetNext()	docs/commands/ListView.htm#LV_GetNext
LV_GetText()	docs/commands/ListView.htm#LV_GetText
LV_Insert()	docs/commands/ListView.htm#LV_Insert
LV_InsertCol()	docs/commands/ListView.htm#LV_InsertCol
LV_Modify()	docs/commands/ListView.htm#LV_Modify
LV_ModifyCol()	docs/commands/ListView.htm#LV_ModifyCol
LV_SetImageList()	docs/commands/ListView.htm#LV_SetImageList
macro	docs/misc/Macros.htm
math operations (expressions)	docs/Variables.htm#Expressions
MaxHotkeysPerInterval	docs/commands/_MaxHotkeysPerInterval.htm
MaxIndex()	docs/objects/Object.htm#MinMaxIndex
MaxThreads	docs/commands/_MaxThreads.htm
MaxThreadsBuffer	docs/commands/_MaxThreadsBuffer.htm
MaxThreadsPerHotkey	docs/commands/_MaxThreadsPerHotkey.htm
Menu	docs/commands/Menu.htm
Menu Bar (GUI)	docs/commands/Gui.htm#Menu
Menu Icon	docs/commands/Menu.htm#MenuIcon
